time,step,loss,loss1,loss2,loss3,loss21,loss31
153357.886939,0.0,-46.64602763019935,-0.326165036218321,-3.6623073340301313,-10.367216674337119,-0.12326392852563411,-0.5265931089756638
153401.951321,1.0,-4609.821879281133,-45.99230999640802,-2.199873349783553,-8.391006290548093,-0.05344865199723886,-0.7048065630953014
153406.118025,2.0,-4468.884055329543,-44.569166114009604,-2.8567510178867415,-9.11069291069511,-0.02130158269247413,-0.21441449376023375
153410.184911,3.0,-536.650650691164,-5.253742315204845,-2.057575545105042,-9.218843625574154,-0.018216747186552737,-0.46527585564547785
153414.138585,4.0,-4841.775780299367,-48.29942597061964,-2.3428347406674095,-9.490348496733962,-0.022516957941959615,-0.24738680120684206
153419.223565,5.0,-228.65886778931528,-2.1423905120134927,-3.8471283275598807,-10.572688260406116,-0.042531452148091974,-0.0005963391441106795
153424.43037,6.0,-4331.425257135127,-43.226609274142554,-2.1816211910769145,-6.582708529794312,-0.0003340824742466211,-0.084774146284461
153429.529759,7.0,-943.1367453296332,-9.314559444612689,-1.6098194302798752,-10.07098143808446,-0.00015931750184297556,-0.028134913107365368
153434.596082,8.0,-1607.522660238156,-15.975077188517634,-2.362037120852875,-7.652904265539666,-0.22148422603242102,-0.09390453546519205
153439.747579,9.0,-1257.208783849426,-12.447929478865635,-2.152141746992476,-10.263694215870135,-0.06928587658937276,-0.5009356002988816
153444.832697,10.0,-752.4406032877303,-7.42187399357436,-2.695308034615988,-7.557895895678346,-0.01147412809660658,-0.005513338902369142
153449.831419,11.0,-1152.4103472259667,-11.424972320439071,-2.386124204505203,-7.5269909775542,-0.1211862585465312,-0.0031605183949568313
153454.88938,12.0,-153.29113479037028,-1.437694015380232,-1.870457919254996,-7.651275333092052,-0.021270140385650768,-0.21830892455727607
153500.037392,13.0,-907.40983246543,-8.964992705216572,-1.9703049200145148,-8.940257023758338,-0.004707459845647218,-0.13461009693345521
153505.487702,14.0,-184.71703210018845,-1.739036813847388,-1.5637431946993987,-9.24960752075027,-0.0895362082644403,-0.5195808504618182
153510.705757,15.0,-2144.859374923449,-21.362216393875137,-2.1943641922801693,-6.443371343655867,-0.024486793067287654,-0.20301414405365661
153516.017228,16.0,-1287.8290448599198,-12.783410138897457,-1.840608556796083,-7.647422413377811,-0.0023449299021810295,-0.008949830084837974
153521.255264,17.0,-1107.5353769569192,-10.997742220983213,-1.4880179479691227,-6.273136910628939,-0.00736028495669365,-0.011703551439285281
153526.586346,18.0,-398.7157199028391,-3.8741868758216174,-1.8323609376721572,-9.46467138300529,-0.0908870034393668,-0.1656302806871608
153531.996035,19.0,-247.16143976591053,-2.379516989127328,-2.1139334670317695,-7.095807386145967,-0.0032975873527340597,-0.3371828053064793
153537.638298,20.0,-13.033036789440233,-0.04952821965921644,-1.5847464575800942,-6.495468365938494,-0.000700401317849755,-0.05821170631242171
153542.791293,21.0,-1051.8899063019976,-10.386166946363616,-1.9371101329301872,-11.336101532705637,-0.015660178687088196,-0.10953688266630843
153547.909778,22.0,-1587.2716272251664,-15.734283249358814,-2.2529140354144337,-11.590388253870215,-0.0058450070567429065,-0.2647700017484575
153552.904399,23.0,-91.40866225463755,-0.8103578427242002,-1.8594809624938118,-8.513397019723701,-0.09831357536725702,-0.1292075822701566
153558.045985,24.0,-71.97901696470399,-0.6276818604297564,-2.351548685587019,-6.859282236141329,-0.07643952991349996,-0.02187765690529346
153603.119737,25.0,-1238.2237031668978,-12.241461686696937,-1.9845365690237757,-12.092997928180601,-0.025594847481071954,-0.7038350952671767
153608.099282,26.0,-156.75936426574046,-1.4273246502325323,-2.117790418706819,-11.909108823780437,-0.15730535934835674,-0.1973842639019266
153613.102371,27.0,-308.8870840513275,-2.9307239281635145,-1.8879288081185395,-13.926762426857534,-0.050027781559146944,-0.05051824991526083
153618.15303,28.0,-159.64909945632337,-1.4743132480264562,-1.6515427457647736,-10.566231907912933,-0.0012076412531435484,-0.5044888876340389
153623.0857,29.0,-132.64609085174,-1.1352757564080067,-2.157863237257899,-16.96065197368142,-0.18148457626342773,-0.6380341110909282
153628.083262,30.0,-16.507671857093626,-0.05757980171729424,-2.23067302637401,-8.519018658990193,-0.029661446512676777,-0.18324262315598128
153633.185209,31.0,-206.21981064811416,-1.9337273193249618,-1.9956061221478758,-10.85147259347011,-0.018900160731285816,-0.6098415482753813
153638.401166,32.0,-176.91407803570212,-1.6626444825256717,-2.1872718476606265,-8.462357935474305,-0.17573206092804672,-0.04516350869603455
